"UMKM Name","Product","Asset Total (Rp. Juta)","Annual Sales (Rp. Juta)","Employees","Survey Conducted","","","","","",""
"Penjahit UMMAT","Pembuat Pakaian","511.2","9.8","2","2008","","","","","",""
"Penjahit Restu","Penjahit Pakaian/ Konveksi","162.13","160.48","6","2011","","","","","",""
"CV . SUMBER REJEKI","MEUBEL JEPARA","567","360","9","2011","","","","","",""
"USAHA SOFA INDI","KERAJINAN SOFA","92","600","6","2011","","","","","",""
"Karya Agung","Bahan Bangunan","374.6","168","5","2011","","","","","",""
"Tyrex Sandal","Produksi Sandal","73.5","89","4","2011","","","","","",""
"Putra","Produksi Tempe","19","296","2","2011","","","","","",""
"PD SM","Produksi Makaroni","990","370","8","2011","","","","","",""
"SALON EVA","Salon","21","56","2","2011","","","","","",""
"PENGRAJIN KASUR","Kasur","5","48","1","2011","","","","","",""
"Pengolahan","Pengolahan Kayu","116","30","1","2009","","","","","",""
"Usaha Kerupuk Jangek Atuak","Kerupuk Jangek","97","291.6","2","2009","","","","","",""
"Usaha Kerupuk Mandiri","Usaha Kerupuk","140.7","436.05","9","2009","","","","","",""
"Rendang Erika","Rendang","290","127.5","8","2013","","","","","",""
"Satria Motor","Pembuatan Jok Motor / mobil","27.5","46.2","5","2008","","","","","",""
"DODOL NANAS KEMUNING","Menjual Dodol Nanas","303","32","12","2012","","","","","",""
"Kue ""EKA RASA""","Kue Kering","50","50","3","2011","","","","","",""
"Wasiman","Gula Merah","38","26","1","2011","","","","","",""
"TIANG MAS","Pembuatan Tiang Rumah dan Prasasti","391.5","804","5","2008","","","","","",""
"LIO BATA 1","BATU BATA","114","144","6","2011","","","","","",""
"LIO BATA 2","GENTENG","113","72","8","2011","","","","","",""
"Pia Kacang","Pia Kacang","37","55","2","2012","","","","","",""
"Meubel Petra","Marina Asri","131","525","6","2012","","","","","",""
"Cahaya Transito","Pabrik Tahu, Tempe","160","1,440","8","2012","","","","","",""
"Karya Jepara","Meubel","5,392","1,167","30","2012","","","","","",""
"Sido Makario","Mie Basah","897","1,020","4","2012","","","","","",""
"Lengkoan Jaya","Meubel","585","540","4","2012","","","","","",""
"B. Dua","Kerajinan Tangan","213","825","6","2012","","","","","",""
"Hasta Indah-Mansinam Art","Kerajinan Tangan","23","71","7","2012","","","","","",""
"Depot Air Minum Aqua Jaya","Depot Air Minum","122","204","2","2012","","","","","",""
"MARJAN BUEN","JUAL KUBUR JADI","23","42","2","2013","","","","","",""
"Cuwo Jaya Gypsum","Pembuatan Gypsum","47","125","10","2008","","","","","",""
"Usaha Gypsum","Pembuatan Interior Gypsum","162","405","20","2008","","","","","",""
"Wahyu Jok Motor","Pembuatan Jok","10.6","79","1","2008","","","","","",""
"Usaha Tahu Tempe Ahmad","Produksi Tahu Tempe","85","72","3","2011","","","","","",""
"USAHA BETON SAHRONI RAHMAN","Pengerajin Beton","181","58","2","2012","","","","","",""
"USAHA KAYU PROFILE SURIADI","Kerajinan Kayu Profile","385","70","3","2012","","","","","",""
"RAHAYU INDUSTRI MAKANAN RINGAN","Makanan Ringan","146","105","30","2012","","","","","",""
"KERUPUK UDANG ""KHAIRA""","Pembuatan Dan Penjualan Kerupuk","80","245","30","2012","","","","","",""
"TOKO PUPUK H. ALIMUDIN","Pengecer Pupuk","493","61","2","2012","","","","","",""
"CITRA DEMAJAR","Kerupuk","232","116","18","2012","","","","","",""
"Iwan Perabot","Pembuatan Furniture","39.5","100","3","2008","","","","","",""
"Marinda Shoes","Pembuatan Sepatu dan sandal","123.39","142.5","5","2008","","","","","",""
"Pabrik Keripik Tempe Riang","Industri Keripik Tempe","95","12","1","2012","","","","","",""
"HARAPAN","KERAJINAN PANDAN","121.95","113.1","26","2011","","","","","",""
"PAK BOO","KERAJINAN KERANG","120.09","98","4","2011","","","","","",""
"PEMBUATAN BOIS","PEMBUATAN BOIS","289","204","4","2012","","","","","",""
"MEBEL SUWARNO","PEMBUATAN MEBELAIR","77","300","3","2012","","","","","",""
"PEMBUATAN TELA CIRARI","PEMBUATAN TELA PRESS","150","864","8","2012","","","","","",""
"Maju Rahayu","Pembuatan Souvenir","125.5","55.5","13","2008","","","","","",""
"Peyek Kacang Dan Kedelai ""Sido Maju""","Pembuatan Peyek kacang dan Kedelai","118.3","1,179","16","2008","","","","","",""
"Bejo Bejan","Pembuatan Kipas Kulit","125.75","46.5","12","2008","","","","","",""
"Barjo Craft","Pembuatan Patung gajah, pot ukiran gajah","151","284","15","2008","","","","","",""
"Ngadiman Craft","Pembuatan Pot dan Vas","123.75","72","2","2008","","","","","",""
"Pengrajin Kuningan ""Angudi Mulyo""","Pembuatan Kerajinan Kuningan","149.25","48","5","2008","","","","","",""
"Glenter Keramik","Pembuatan Kendil, guci, pot","233.5","120","7","2008","","","","","",""
"Otak-Otak Lilisdawati","Otak-Otak","0","0","3","2012","","","","","",""
"Kerupuk Suroso","Pembuatan Kerupuk","0","0","2","2012","","","","","",""
"Es Buah Rumput Laut Ibu Wiwik","Es Rumput Laut","0","0","1","2012","","","","","",""
"Usaha Gorengan Giatin","Gorengan","0","0","4","2012","","","","","",""
"Kue Pukis Rohyadi","Pukis","0","0","1","2012","","","","","",""
"Otak-Otak Suratun","Otak-Otak","0","0","2","2012","","","","","",""
"Kerupuk Sariah","Kerupuk","0","0","2","2012","","","","","",""
"B Joss Juice","Jus Buah","0","0","1","2012","","","","","",""
"Keripik Arjon","Keripik Ubi","0","0","4","2012","","","","","",""
"Kedai Kopi Penyengat","Jual Kue","0","0","4","2012","","","","","",""
"Otak-Otak Endang","Otak-Otak","0","0","1","2012","","","","","",""
"Lindy","Percetakan","0","0","1","2012","","","","","",""
"Sumber Rezeki","Kerupuk","0","0","18","2012","","","","","",""
"Rosnita MT Brownis","Brownies","0","0","2","2012","","","","","",""
"Taanaman Hias Bu IT","Pembuatan Jok Mobil","394.5","240","2","2008","","","","","",""
"Warung Babe","Pembuatan Furniture","366.65","1,500","10","2008","","","","","",""
"CV. Arjuna Advertising","Pembuatan Paving Blok","115","156","7","2008","","","","","",""
"Karya Prima","Pembuatan kerajinan rotan","296","96","2","2008","","","","","",""
"CV. Rita Karya Utama","Pembuatan Terali Besi","291","600","12","2008","","","","","",""
"Cahaya Dunia Taylor","Pembuatan Pakaian","311.8","90","3","2008","","","","","",""
"PERCETAKAN HIKMAT","Percetakan","13.5","288","1","2011","","","","","",""
"PRODUCTION HOUSE IWAN","Production House","19.5","36","2","2011","","","","","",""
"Rizal Bata","Industri Bata","79.4","48","6","2012","","","","","",""
"Perusahaan Kerupuk Halimah","KERUPUK","9.12","18.4","5","2012","","","","","",""
"PERUSAHAAN KERUPUK INAK MISAH","KERUPUK","45.65","297","20","2012","","","","","",""
"ANEKA CAMILAN ANDINI","KERIPIK","32.5","270","8","2012","","","","","",""
"ASYQIYA","KERIPIK UBI","61","132","12","2012","","","","","",""
"USAHA KERUPUK IKAN TENGIRI","KERIPIK IKAN TENGIRI","252.8","43.2","2","2012","","","","","",""
"USAHA KERUPUK IBU EMI","KERUPUK","14.66","364.5","2","2012","","","","","",""
"USAHA KERUPUK IBU SAFAAH","KERUPUK","40.08","114","2","2012","","","","","",""
"USAHA KERUPUK BERAS IBU HASIDAH","USAHA KERUPUK BERAS IBU HASIDAH","16.25","16.75","1","2012","","","","","",""
"ULAN ARTSHOP","TOPENG KAYU","57.08","279","9","2012","","","","","",""
"USAHA GENTENG PAK SADIRAH","PENGERAJIN GENTENG","15.84","43.2","5","2012","","","","","",""
"KERUPUK SARI MISNAH","KERUPUK","139","114","15","2012","","","","","",""
"Rempeyek Mbah Hadi","Pembuatan Peyek kacang","79.8","1,555.20","19","2008","","","","","",""
"Rempeyek Kacang Mbah Harjo","Pembuatan Peyek kacang","126.6","1,432.08","16","2008","","","","","",""
"Rempeyek ""Rahayu""","Pembuatan peyek kacang dan peyek kedele","80.25","336.96","4","2008","","","","","",""
"Rempeyek Kacang Wahtomo","Pembuatan Peyek Kacang","121.75","1,263.60","15","2008","","","","","",""
"Rempeyek Kacang ""Mbah Sastro""","Pembuatan Peyek Kacang","148.72","1,283.04","14","2008","","","","","",""
"Industri Tahu","Tahu","146","365","6","2012","","","","","",""
"Industri Bata","Bata","122","39","3","2012","","","","","",""
"Industri Genteng","Genteng","120","105","4","2012","","","","","",""
"Klanting Agus","Industri Klanting","107","89.1","17","2012","","","","","",""
"Ahmad Genteng","Industri Genteng","129","49.5","3","2012","","","","","",""
"Sentra Keripik Dan Gula","Gula Aren","119","166","2","2012","","","","","",""
"Meriyanti Bata","Bata","65.4","42.3","3","2012","","","","","",""
"Bata Warsito","Bata","133","48","6","2012","","","","","",""
"Usaha Batu Bata","Batu Bata","611","98.4","4","2012","","","","","",""
"Usaha Batu Bata","Batu Bata","157","73.8","3","2012","","","","","",""
"Batu Bata Jumbo","Batu Merah","558.5","81","3","2012","","","","","",""
"Batu Bata Jumbo I","Batu Merah","42.75","81","2","2012","","","","","",""
"Vanes Aluminium","Aluminium","62.65","74","1","2014","","","","","",""
"Tempe","Tempe","389.4","24.67","1","2014","","","","","",""
"Kue Lina","Penjualan Kue Basah","20.59","45","1","2014","","","","","",""
"Kerrupuk Singkong Sari Jaya","Pembuatan Kerupuk Singkong","318.7","57.6","3","2014","","","","","",""
"Usaha Ayam Potong","Pedagang Ayam Potong","69.2","87","2","2014","","","","","",""
"Industri Pengolahan Tahu Tela","Tahu Tela","26.34","86.4","1","2014","","","","","",""
"Gorengan Nisah","Pengolahan Pisang","6.03","9","2","2014","","","","","",""
"Cimi-Cimi Rumput Laut","Cimi Cimi Rumput Laut","23.9","62.4","1","2014","","","","","",""
"Nuget Sehat Sayur","Nuget Sehat Sayur","25.35","60","1","2014","","","","","",""
"M H Snack (Krupuk Ikan Tengiri)","Snack Krupuk","25","48","4","2014","","","","","",""
"Perintis Jaya","Pabrik Batako","424.5","1,357.20","4","2014","","","","","",""
"Kopra Elianor","Kopra","31","10","5","2014","","","","","",""
"Usaha Pembuatan Tempe","Pembuatan Tempe","79.05","10","3","2014","","","","","",""
"Gula Merah Muroji","Pembuatan Gula Merah","38.57","10","2","2014","","","","","",""
"Pembuatan Sambel Kacang Kemasan","Sambel Kacang","7.6","99.5","2","2014","","","","","",""
"Pembuatan Kue Bolu","Pembuatan Kue Bolu","1","12.5","1","2014","","","","","",""
"Tempe Saminah","Industri Rumah Pembuatan Tempe","13.08","7","1","2014","","","","","",""
"Kripik Tempe Hoiriyah","Kripik Tempe","36.2","17","3","2014","","","","","",""
"PT Kampung Lidi Saloloang","Sapu Lidi","118.5","38.8","50","2014","","","","","",""
"Bakwan Malang Agung","Bakwan Malang","422","840","15","2010","","","","","",""
"Fredy Somay","Somay","106.16","720","20","2010","","","","","",""
"Ibu Sawiyah Tape Singkong","Tape Singkong","54.9","240","3","2010","","","","","",""
"Aneka Alumunium","Pembuatan Etalase Dan Las","291","54","5","2013","","","","","",""
"Bu Warni","Telor Asin","164","72","2","2012","","","","","",""
"Pengetaman Kayu Jhoni Putra","Pembuatan Kusen-Kusen","143","120","4","2008","","","","","",""
"DeRis","Pembuatan Pastri, Cake & kue kering","250.5","108","5","2008","","","","","",""
"Fortuna Stick","Pembuatan Kue/ stick","65.61","48","5","2008","","","","","",""
"Kalua Jeruk","Pembuatan Kalua Jeruk","354.5","72","8","2008","","","","","",""
"Sawargi","Pembuatan Kalua Jeruk","74.59","60","4","2008","","","","","",""
"Kalua Jeruk Pusaka","Pembuatan Kalua Jeruk","206.79","72","5","2008","","","","","",""
"Doa Rahma","Pembuatan Sarung golok","10.95","48","4","2008","","","","","",""
"Pusaka II","Pembuatan Kalua Jeruk","340.51","64.8","4","2008","","","","","",""
"PHPM (Production House Putri Mandiri)","Pembuatan Risoles, Puding, Sus, Dll","2.8","48","2","2008","","","","","",""
"Nopia Narwan","Mino","3,110","1,110","16","2012","","","","","",""
"Pusaka","Pembuatan Kalua Jeruk","18.12","45","4","2008","","","","","",""
"INDUSTRI TEMPE KASMINI","PRODUKSI TEMPE","101","48","0","2011","","","","","",""
"MEUBEL GARUDA","MEUBEL","260","380","5","2011","","","","","",""
"SAFIRA CATERING","CATERING DAN KUE","126","350","4","2011","","","","","",""
"UD. Meubel A.Rois Sumende","Pembuatan Furniture","427.5","435","3","2008","","","","","",""
"Tempe Lasinem","Pengolahan Kedelai","116.3","107","2","2008","","","","","",""
"Sumber Rezeki","Pembuatan Kusen","14","60","2","2008","","","","","",""
"Fr Alumunium Kaca","Pengolahan Almunium","24.62","180","6","2008","","","","","",""
"UD Agus Putra Jaya","Pembuatan Kusen","19","360","6","2008","","","","","",""
"Sumber Jaya Abadi","Pembuatan Kusen","28","240","4","2008","","","","","",""
"Sumber Jati","Pembuatan Kusen","17","240","6","2008","","","","","",""
"Santika Design","Pembuatan Pagar Besi","21","180","6","2008","","","","","",""
"UD Sumber Jaya","Pembuatan Kusen","66","72","3","2008","","","","","",""
"Meubel "" Abidin ""","Pembuatan Sofa","34.15","168","3","2008","","","","","",""
"Harapan Jaya","Pembuatan Kusen","124.5","170","3","2008","","","","","",""
"Masliati","Produksi Purun","8.05","2.8","1","2011","","","","","",""
"Perajin Purun","Produksi Purun","8.02","2.56","1","2011","","","","","",""
"Gerabah Tanah","Produksi Gerabah","67","194","7","2013","","","","","",""
"Usaha Loster","Produksi Loster","69","90","5","2013","","","","","",""
"Rendang Padang Hj.Arnis","Rendang","39","72","3","2009","","","","","",""
"Tika Prabot","Perabot","457","516","3","2009","","","","","",""
"Nur Fajri","Kompor","153","122","4","2009","","","","","",""
"Afda Resti Emi","Kripik Pisang","179","158","3","2009","","","","","",""
"Riau Jaya Paving","Pembuatan Pavin Blok","195","108","3","2008","","","","","",""
"Toko Kaca Awinium Riad","Pembuatan Meubel","63","240","3","2008","","","","","",""
"Tempe Suparno","Pembuatan Tempe","41.6","210","3","2008","","","","","",""
"Panara Tempe","Pembuatan Tempe","31.48","210","3","2008","","","","","",""
"Bon Tempe","Pembuatan Tempe","21.2","225","2","2008","","","","","",""
"Aura Ksih Tempe","Pembuatan Tempe","22.18","180","2","2008","","","","","",""
"Yadi Tahu","Pembuatan Tahu","41.38","675","4","2008","","","","","",""
"An Nuur","Pembuatan Jamu (Serbuk dan Kapsul)","90.9","180","8","2008","","","","","",""
"CV. Kreasindo Jaya","Pembuatan Batu Relief","62.76","80","9","2008","","","","","",""
"Yanti Collection","Pembuatan Tas","65","60","3","2008","","","","","",""
"Pakaryan Aneka Kerajinan Melati Putih","Pembuatan Miniatur dan Aksesoris","1,520.75","80","11","2008","","","","","",""
"Hasta Karya","Pembuatan Bathroom Furniture","214.39","2,628","115","2008","","","","","",""
"Modest Art Collection","Pembuatan Tas","62","36","4","2008","","","","","",""
"Wasino","Pembuatan Sarung Hp","72.5","230.4","8","2008","","","","","",""
"Syifa Collection","Pembuatan Dompet dan Tas","88.75","138.82","3","2008","","","","","",""
"Sisi Lain Batik","Pembuatan Kaos Batik","304","520","10","2008","","","","","",""
"Handycraft Sukirno","Pembuatan Wayang Kulit","2,788","500","170","2008","","","","","",""
"Suyatmo Collection","Pembuatan Dompet dan Gantungan Kunci","14.6","96","3","2008","","","","","",""
"Anyar Pigura","Pembuatan Pigura","19.1","94","5","2008","","","","","",""
"Moerdijatno","Pembuatan Dompet","59.7","86.4","2","2008","","","","","",""
"Angga Souvenir","Pembuatan Fiber Glass","474","75","2","2008","","","","","",""
"BW Silver","Pembuatan Cincin","235","144","2","2008","","","","","",""
"AS Collection","Pembuatan Tas","168.6","84.8","14","2008","","","","","",""
"BGD Collection","Pembuatan Sabuk","9.5","18","3","2008","","","","","",""
"Christa Collection","Pembuatan Dompet","176.31","45","4","2008","","","","","",""
"Widarjat Blankon","Pembuatan Blangkon","7.8","86","3","2008","","","","","",""
"HAN","Pembuatan Sarung Hp","168.5","36","2","2008","","","","","",""
"G Silver","Pembuatan Cincin","480.8","50","4","2008","","","","","",""
"Surodjo Handycraft","Pembuatan Topeng dan Roroblonyo","136.75","66.6","5","2008","","","","","",""
"Fadaco","Pembuatan Tempat Hp, Dompet dan Gantungan Kunci","19.2","163.2","6","2008","","","","","",""
"Vita Collection","Pembuatan Tas","399.3","90","2","2008","","","","","",""
"HS Collection","Pembuatan Dompet","410.9","153.6","2","2008","","","","","",""
"Purwanto","Pembuatan Sarung Hp","17.75","96","5","2008","","","","","",""
"Farid Collection","Pembuatan Dompet","24.65","38","2","2008","","","","","",""
"AENGS","Pembuatan Dompet Parasit dan Dompet Batik","71.5","180","4","2008","","","","","",""
"Dompet ""Bu Edi""","Pembuatan Dompet Batik","26.5","230","6","2008","","","","","",""
"Dompet Batik Mbak ""Us""","Pembuatan Dompet Batik","17.2","144","5","2008","","","","","",""
"Sutarminah Dompet Batik","Pembuatan Dompet Batik","76.8","540","12","2008","","","","","",""
"Jaran Craft","Pembuatan Handle Tas","242.35","192","10","2008","","","","","",""
"Sale Pisang Famili","Industri Sale Pisang Goreng","77","1,464","20","2013","","","","","",""
"Citra (Pastry) Sugema (Wajit)","Pembuatan Wajit & pastry wajit","247.6","576","18","2008","","","","","",""
"Ranginang Ketan Ibu Awat","Pembuatan Ranginang","73.89","48","6","2008","","","","","",""
"Pos Karya","Pembuatan Kubah Mesjid & perabotan rumah tangga","59","132","8","2008","","","","","",""
"Cahya Alumunium 2","Pembuatan Alumunium (lemari, kusen, etalase, dll)","163.2","360","4","2008","","","","","",""
"Amran Sirait","Kerajinan Gerabah","20.5","19.69","2","2009","","","","","",""
"Fire Advertising","Percetakan","54.5","113","2","2008","","","","","",""
"UD. Dua Bersaudara","Pengolahan Rotan","448.5","600","4","2008","","","","","",""
"UD. Sahabat","Pengolahan Kedelai","107.65","28.5","3","2008","","","","","",""
"KENDIS HOME INDUSTRI","INDUTRI KUE","2","74.4","2","2010","","","","","",""
"Berkah","Pengolahan Tahu","83.5","720","9","2008","","","","","",""
"Es Kusuka","Pembuatan Es Lilin","54.2","60","3","2008","","","","","",""
"Tahu Tauhid","Pengolahan Tahu","620.2","3,600","15","2008","","","","","",""
"MEMBUAT BATA KASIM","MEMBUAT BATA","135","37","3","2011","","","","","",""
"Redi Collection","Pembuatan Tempat Hp","325.26","30.24","2","2008","","","","","",""
"CV Cemara Sari","Pembuatan Cemara dan Sanggul Tradisional dan Modern","114","19","3","2008","","","","","",""
"Bakpia Pathuk ""97""","Pembuatan Bakpia","124","525.6","8","2008","","","","","",""
"Triyono Darso Collection","Pembuatan Blangkon","54.1","30","2","2008","","","","","",""
"Bakpia Pathok ""447""","Pembuatan Bakpia","153.5","400","15","2008","","","","","",""
